Title,Body,"Published by","Authored by","Is featured","Calls to action","Featured Image (Url)","Knowledge base download","Knowledge Source",Topics,Commodities,"Evidence types","Geographical area","Innovations categories","SDG Focus",Sectors,"Value chain stages","Resource types",Published,"Authored on","Created By","Publication Date","Domain Access","Promoted to front page","Sticky at top of lists",ID,Link,"Knowledge Source Initiative",ISO3
"Socio-Technical Innovation Bundles for Agri-Food Systems Transformation","This editorial piece shares key recommendations from an expert panel from Nature Sustainability and the Atkinson Center for Sustainability on innovations to build sustainable, equitable, inclusive food value chains.
The paper explores options for driving systemic change in agri-food systems. The expert panellists suggest bundling innovations. A socio-technical bundle is a mix of science and technology advances, properly contextualized, combined with specific institutional or policy adaptations. All actors along the agri-food value chains are vital to the success of innovations and play a role in transforming agri-food systems. ","Nature Sustainability","Barrett, Christopher B., Tim Benton, Jessica Fanzo, et al.",0,"Read the paper here-https://www.nature.com/articles/s41893-020-00672-5",,,Other,"Poverty reduction and livelihoods|Nutrition, health and food security",,,Global,"Innovations within the supply chain","SDG 1 - No Poverty|SDG 2 - Zero Hunger",,,"Journal article",1,"2023-07-06 05:38:10",Vi.Nguyen,2020-12-10T12:00:00+0000,,0,0,2477,https://www.kismfoodmarkets.org/node/2477,no,
"The State of Food and Agriculture 2021: Making agrifood systems more resilient to shocks and stresses","The State of Food and Agriculture 2021 report from FAO presents country-level indicators of the resilience of agrifood systems. The indicators measure the robustness of primary production and food availability, as well as physical and economic access to food. 
The report analyses the vulnerabilities of food supply chains and how rural households cope with risks and shocks. It discusses options to minimize trade-offs that building resilience may have with efficiency and inclusivity. The aim is to offer guidance on policies to enhance food supply chain resilience, support livelihoods in the agrifood system and, in the face of disruption, ensure sustainable access to sufficient, safe and nutritious food to all.",FAO,FAO,0,"Read the report here-https://www.fao.org/documents/card/en/c/cb4476en",,,Other,"Poverty reduction and livelihoods|Nutrition, health and food security",,,Global,"Innovations in the enabling environment|Innovations within the supply chain","SDG 1 - No Poverty|SDG 10 - Reduce Inequalities",,,"Research report",1,"2023-07-06 05:09:39",Vi.Nguyen,2021-07-06T12:00:00+0000,,0,0,2476,https://www.kismfoodmarkets.org/node/2476,no,
"What's Cooking: Digital Transformation of the Agrifood System","The digital agriculture revolution holds a promise to build an agriculture and food system that is efficient, environmentally sustainable, and equitable, one that can help deliver the Sustainable Development Goals. The change is driven by the ability to collect, use, and analyze massive amounts of machine-readable data about practically every aspect of the value chain, and by the emergence of digital platforms disrupting existing business models. The success of the digital transformation, however, is not guaranteed as the risks it brings are numerous, including those related to data governance and inadequate competition within and between digital platforms. 
This report investigates how digital technologies can accelerate the transformation of the agrifood system. It also identifies a key role for the public sector in maximizing the benefits of this process while minimizing its risks, through enabling an innovation ecosystem featuring open datasets, digital platforms, digital entrepreneurship, digital payment systems, and digital skills and encouraging equitable technology adoption.","World Bank Group","Kateryna Schroeder, Julian Lampietti, and Ghada Elabed",0,"Read the report here-https://openknowledge.worldbank.org/entities/publication/e9b250b5-f560-523a-9328-ec90e8b2a29a",,,Other,"Nutrition, health and food security",,,Global,"Innovations within the supply chain: Value chain infrastructure|Innovations in the enabling environment|Product or farm level: Farm level technology / agronomic practices (GAPs)","SDG 2 - Zero Hunger|SDG 1 - No Poverty",,,"Research report",1,"2023-07-06 04:29:20",Vi.Nguyen,2021-03-16T12:00:00+0000,,0,0,2473,https://www.kismfoodmarkets.org/node/2473,no,
"Global Market Report: Palm oil prices and sustainability","Palm oil development in Indonesia and Malaysia—the top two producing countries—has led to significant forest loss over the last 30 years. The deforestation and land-use changes that often occur during palm oil cultivation are some of the leading causes of climate change—yet the sector is increasingly vulnerable to its impacts.
With rising production costs, limited negotiation power, and a lack of access to finance and quality inputs to contend with, many oil palm farmers in developing regions are left struggling to earn a living. This report provides a series of recommendations for governments, private sector actors, and sustainability standards to ensure that palm oil producers receive better incomes and are incentivized to adopt more sustainable practices.",IISD,"Vivek Voora, Steffany Bermúdez, Johanna Joy Farrell, Cristina Larrea, Erika Luna",0,"Read the report here-https://www.iisd.org/publications/report/2023-global-market-report-palm-oil",,,Other,"Poverty reduction and livelihoods",,,Global,"Innovations in the enabling environment","SDG 1 - No Poverty|SDG 10 - Reduce Inequalities|SDG 8 - Decent Work and Economic Growth",,,"Research report",1,"2023-07-04 04:39:56",Vi.Nguyen,2023-06-28T12:00:00+0000,,0,0,2474,https://www.kismfoodmarkets.org/node/2474,no,
"The status of women in agrifood systems","This report from FAO provides the latest data, lessons learned and recommendations for policy and decision makers about gender in agrifood systems. It reviews and analyzes women’s opportunities and constraints in economic and social processes, while taking stock and assessing progress made in closing a series of gender gaps. It provides compelling examples of policies and programmes with a review of what has worked, and specific recommendations about how to do more, and better. ",FAO,FAO,1,"Read the report here-https://www.fao.org/documents/card/en/c/cc5060en",,,Other,"Gender equality, youth and social inclusion|Nutrition, health and food security|Poverty reduction and livelihoods",,,Global,,"SDG 5 - Gender Equality|SDG 1 - No Poverty",Crops,"Primary production","Research report",1,"2023-06-29 06:03:21",Vi.Nguyen,2023-05-01T12:00:00+0000,,0,0,2466,https://www.kismfoodmarkets.org/node/2466,no,
"Decent and Productive Work in Agriculture","Agriculture is an important source of employment and income, particularly in developing countries. Yet agricultural workers often face decent work deficits, working for low wages and incomes under poor and sometimes hazardous conditions, and lacking the means to effectively address their situation. Achieving decent work and improving productivity in agriculture are key to reducing poverty and stimulating economic growth in rural areas. Improving the quantity and quality of jobs, promoting rights at work, extending social protection, and strengthening rural workers’ organizations are crucial for achieving decent work and improving agricultural productivity.
This policy guidance note from the International Labour Organization (ILO)profiles approaches for addressing the substantial decent work deficits in agriculture, with special attention to the most vulnerable. It focuses on much-needed action in the areas of skills development and the realization of core rights and protections for agricultural workers.","International Labour Organization (ILO)","International Labour Organization (ILO)",1,"Read the policy guidance here-https://www.ilo.org/global/topics/economic-and-social-development/rural-development/WCMS_437173/lang--en/index.htm",,,Other,"Poverty reduction and livelihoods|Gender equality, youth and social inclusion",,,Global,,"SDG 2 - Zero Hunger|SDG 1 - No Poverty|SDG 5 - Gender Equality",,"Primary production","Policy brief",1,"2023-06-29 05:58:00",Vi.Nguyen,2019-11-21T12:00:00+0000,,0,0,2465,https://www.kismfoodmarkets.org/node/2465,no,
"Digital technologies in agriculture and rural areas","This report aims to identify the different scenarios where the process of digital transformation is taking place in agriculture. This identifies those aspects of basic conditions, such as those of infrastructure and networks, affordability, education and institutional support. In addition, enablers are identified, which are the factors that allow adopting and integrating changes in the production and decision-making processes.
Finally identify through cases, existing literature and reports how substantive changes are taking place in the adoption of digital technologies in agriculture.",FAO,"Nikola M. Trendov, Samuel Varas, and Meng Zeng",0,"Read the report here-https://www.fao.org/publications/card/es/c/CA4985EN/",,,Other,"Nutrition, health and food security|Poverty reduction and livelihoods",,,Global,"Innovations within the supply chain|Product or farm level","SDG 1 - No Poverty|SDG 2 - Zero Hunger",Crops,"Primary production","Research report",1,"2023-06-29 05:52:44",Vi.Nguyen,2019-06-01T12:00:00+0000,,0,0,2464,https://www.kismfoodmarkets.org/node/2464,no,
"Rethinking Our Food Systems: A Guide for Multi-Stakeholder Collaboration","Food systems involve complex challenges, which call for a systemic, multi-level and multi-stakeholder participatory approach for addressing interrelated issues across economic, social and environmental dimensions: the so-called food systems approach.
Therefore, multi-stakeholder collaboration needs to be an essential pillar of the food systems approach and the transition to sustainable food systems. Against this background, UNEP, FAO and UNDP jointly created this guide to consolidate learnings and tools gathered from within and beyond the three agencies to contribute to the growing canon of knowledge on how to improve multi-stakeholder collaboration for sustainable food systems transformation. The aim of the guide is to support those interested or engaged in convening, implementing, facilitating or supporting a multi-stakeholder initiative that contributes to the sustainable transformation of food systems, at different levels.","UNEP, FAO and UNDP","Carmen Torres Ledezma, Elena Ilie, Siobhan Kelly, Pablo Garcia-Campos, Costanza Rizzo, Kathleen Wood and Marina Bortoletti.",1,,,,Other,"Nutrition, health and food security|Poverty reduction and livelihoods",,,Global,,"SDG 2 - Zero Hunger|SDG 5 - Gender Equality|SDG 13 - Climate Action",,,Guideline,1,"2023-06-29 05:45:11",Vi.Nguyen,2021-06-21T12:00:00+0000,,0,0,2463,https://www.kismfoodmarkets.org/node/2463,no,
"How to Transform Food Systems: 7 Calls to Action","The Global Alliance for the Future of Food has developed seven bold Calls to Action that are critical pathways for creating a better future of food. 
Each of the Calls to Action address the critical underlying structures that hold back much-needed food systems transformation. These seven calls to action represent practical pathways to stimulate local and global action, and accelerate much-needed and deep structural change: 

Ensure inclusive, participatory approaches to governance as a way to address the structural inequities in food systems.
Increase research for the public good that emphasizes indivisible ecological, health, social, and economic goals.
Account for the environmental, social, and health impacts of food systems policies and practices in order to inform better decision-making.
Direct public sector investment toward ecologically-beneficial forms of farming, healthy food, and resilient livelihoods and communities. 
Unlock investment opportunities in sustainable food systems and align private, philanthropic, and multilateral funders with national food systems actors.
Create enabling environments where agroecology and regenerative approaches flourish.
Promote nutritious, sustainable, whole-food diets adapted to local ecosystems and socio-cultural contexts.","Global Alliance for the Future of Food","Global Alliance for the Future of Food",0,"Read the report here-https://futureoffood.org/insights/7-calls-to-action/",,,Other,"Nutrition, health and food security|Poverty reduction and livelihoods",,,Global,,"SDG 2 - Zero Hunger|SDG 13 - Climate Action",Crops,,Guideline,1,"2023-06-29 05:37:10",Vi.Nguyen,2021-06-29T12:00:00+0000,,0,0,2462,https://www.kismfoodmarkets.org/node/2462,no,
"Enhancing smallholder farmers' access to seed of improved legume varieties through multi-stakeholder platforms","This open access book shares the experiences of the Tropical Legumes III (TLIII) project in facilitating access to seed of improved legume varieties to smallholder farmers through innovation platforms. It highlights practices and guiding principles implemented in eight developing countries of sub-Saharan Africa and South Asia. This book details key processes that respective teams employed to create an innovation space that delivers seed, other inputs, knowledge and financial services to agricultural communities and most importantly, the underserved farmers in remote areas of the drylands.
It offers valuable insights into the pathway to establishing, promoting and operating innovation platforms to enhance the performance and competitiveness of legume crops’ value chains, and addresses critical issues that must be considered to make innovation platforms more sustainable and attractive to beneficiaries. The book offers a wealth of practical insights for development workers, technical staff, and project managers. ",Springer,"Essegbemon Akpo, Chris O. Ojiewo, Issoufou Kapran, Lucky O. Omoigui, Agathe Diama, Rajeev K. Varshney",0,"Read the book here-https://link.springer.com/book/10.1007/978-981-15-8014-7",,,Other,"Poverty reduction and livelihoods|Nutrition, health and food security",,,"Africa: Sub-Saharan Africa|Asia: South Asia",,"SDG 1 - No Poverty|SDG 2 - Zero Hunger|SDG 5 - Gender Equality",Crops,"Primary production: crops",,1,"2023-06-29 05:22:05",Vi.Nguyen,2021-01-12T12:00:00+0000,,0,0,2461,https://www.kismfoodmarkets.org/node/2461,no,|
